IP	subject	age	gender	diener1	diener2	diener3	diener4	diener5	satisfaction	trueself	loneliness	RUCLAloneliness1	RCULAloneliness2	RCULAloneliness3	openness	BFI1	BFI2	decision
165.225.38.80 	11008330440000000	32	M	7	7	7	7	7	35	7	3	1	1	1	3	5	2	I thought about the future.                                                                
73.247.42.77	14402265380000000	32	M	7	7	6	4	3	27	6	3	1	1	1	4	5	1	I Just focused on if I was in the scenario - how I would actually respond.  Then for the second part, I focused on how my girlfriend would respond.
108.171.130.162	14591829990000000	35	M	7	7	7	7	7	35	7	3	1	1	1	4	5	1	I chose them as I would respond in a real situation like that.                                                        
24.26.54.240	14650069930000000	37	F	6	5	6	5	4	26	7	3	1	1	1	0	4	4	none, thanks                                                                   
73.139.146.195	18254599230000000	29	M	5	5	6	4	3	23	5	3	1	1	1	2	5	3	I just chose based on what i thought.                                                             
12.12.130.164	19886801020000000	35	M	5	6	6	5	5	27	6	3	1	1	1	1	4	3	I made my choices based on the instructions. How I would react and how someone close to me would react.                                                 
24.18.153.117	21030944390000000	28	M	5	5	4	5	4	23	3	6	2	2	2	0	3	3	Just based on intuition.                                                                 
68.114.108.125	2366142070000000	34	M	5	6	6	6	6	29	7	3	1	1	1	0	5	5	This was interesting and it sorta made me think!                                                            
24.13.174.184	2982671030000000	24	F	2	3	3	2	1	11	4	8	3	2	3	4	5	1	I thought about choices I've made in the past and what that could tell me about the potential choices                                                  
130.149.36.141	3182137790000000	33	F	6	5	5	6	3	25	4	5	1	2	2	1	5	4	- For myself, I avoided answers that were too extreme (1 or 7), because I don't see myself as an extreme person. For the community, I also avoided answers that were too extreme, because I think average behaviors are unlikely to be extreme. I think the average person is more likely to choose decisions that are stable and predictable, since the average person is, by definition, ordinary and common.
98.214.237.154	4142119540000000	44	M	1	1	1	1	1	5	5	3	1	1	1	1	4	3	cant.. you didnt male timer long enough                                                              
68.59.53.67	5060893190000000	36	M	1	2	1	2	1	7	2	8	3	2	3	-1	3	4	n/a                                                                    
73.171.228.107	7042895580000000	54	F	5	7	3	4	1	20	7	9	3	3	3	0	5	5	Some of them is what I've already done so that was easy while others was what I think I would do.                                                
68.42.119.188	8021720570000000	31	F	5	5	6	4	1	21	6	3	1	1	1	0	5	5	I just thought about my preferences. How else would I make my choice?                                                        
98.249.138.19	831357360000001	33	M	5	5	6	5	5	26	6	3	1	1	1	1	5	4	I just picked what I felt I would truely do.                                                           
73.236.40.189	9442245350000000	59	M	6	6	6	6	2	26	6	3	1	1	1	2	5	3	I gave thoughtful answers after imagining the situation                                                             
